"emotion","polarity","score"
"joy","negative",1
"joy","negative",4
"joy","negative",1
"joy","negative",1
"joy","negative",2
"joy","positive",1
"unknown","positive",1
"unknown","negative",0
"joy","negative",1
"joy","negative",1
"joy","negative",-1
"joy","negative",1
"joy","negative",1
"joy","negative",1
"joy","negative",1
"unknown","negative",1
